"google-public-dns-a.google.com","8.8.8.8"
"blooms30.lnk.telstra.net","203.45.58.166"
"","204.12.225.227"
"","121.128.168.1"
"mobile-166-130-64-24.mycingular.net","166.130.64.24"
"","121.88.240.23"
"","103.22.181.122"
"mail2.wgslab.com","5.196.199.129"
"60-248-191-70.HINET-IP.hinet.net","60.248.191.70"
"179.184.131.244.static.gvt.net.br","179.184.131.244"
"ns1.wlc-net.ru","194.247.191.131"
"186-201-109-14.customer.tdatabrasil.net.br","186.201.109.14"
"181-24-221-81.static.dsl-net.ch","81.221.24.181"
"orfdns.amplayer.com","12.13.90.143"
"","95.158.139.15"
"lion.telewizjattm.pl","85.237.160.184"
"10.116.150.200.static.copel.net","200.150.116.10"
"mx1.wspia.eu","195.205.39.18"
"210-61-205-168.HINET-IP.hinet.net","210.61.205.168"
"","201.64.113.214"
"ns205160.ip-94-23-21.eu","94.23.21.55"
"ns1.chimeimuseum.org","125.227.243.158"
"","175.208.42.132"
"ns1.zonedns.net","212.105.78.6"
"","118.22.34.186"
"50-204-144-118-static.hfc.comcastbusiness.net","50.204.144.118"
"home-136.169.11.45.mits.lv","136.169.11.45"
"","189.17.26.242"
"118-163-34-233.HINET-IP.hinet.net","118.163.34.233"
"61-91-54-226.static.asianet.co.th","61.91.54.226"
"","212.105.78.7"
"","1.179.138.195"
"194.red-158-255-239.telecablesantapola.es","158.255.239.194"
"59-125-123-163.HINET-IP.hinet.net","59.125.123.163"
"","121.174.236.100"
"","1.254.8.133"
"ns.pop-bodensee.de","193.29.2.4"
"211-21-138-152.HINET-IP.hinet.net","211.21.138.152"
"static-190-109-224-227.redcotel.bo","190.109.224.227"
"","85.132.57.186"
"mail.epaylink.co.kr","218.38.58.228"
"dt46.internetdsl.tpnet.pl","80.53.255.46"
"","189.17.26.248"
"host178-104-static.97-5-b.business.telecomitalia.it","5.97.104.178"
"","221.138.17.158"
"dilumar.static.gvt.net.br","177.135.205.210"
"","211.219.83.226"
"iui213.internetdsl.tpnet.pl","95.48.8.213"
"","27.131.158.2"
"wzr.ug.edu.pl","153.19.121.200"
"60-199-250-228.static.tfn.net.tw","60.199.250.228"
"","216.187.93.250"
"","210.168.75.139"
"fm-unix.f-m-computer.de","212.91.246.11"
"129-76-176-62.ip.btc-net.bg","62.176.76.129"
"mx1.ska.ru","37.28.164.182"
"60-248-55-151.HINET-IP.hinet.net","60.248.55.151"
"","95.158.139.11"
"proxy.ada.net.tr","195.112.128.222"
"host81-134-25-137.in-addr.btopenworld.com","81.134.25.137"
"mie-greece.ath.forthnet.gr","193.92.148.101"
"pestech.com.my","175.136.244.90"
"","216.167.205.65"
"","221.138.17.152"
"","194.149.145.132"
"43.198.broadband14.iol.cz","90.181.198.43"
"231.ip-37-187-34.eu","37.187.34.231"
"","59.24.124.231"
"solote.tecnobrain.com.ar","190.210.45.114"
"ns.pnpeople.com","221.138.17.154"
"","210.177.170.28"
"","211.233.83.223"
"ns2.kmu.ac.kr","203.247.29.2"
"tpiardns1.execulink.net","199.166.6.62"
"","77.222.143.19"
"host84-190-60-195.convergenze.it","195.60.190.84"
"60-251-55-148.HINET-IP.hinet.net","60.251.55.148"
"","122.203.6.130"
"87-104-237-210-static.dk.customer.tdc.net","87.104.237.210"
"85-218-56-214.static.citycable.ch","85.218.56.214"
"248.34.97.212.host.static.ip.kpnqwest.it","212.97.34.248"
"85x113x57x229.static-business.samara.ertelecom.ru","85.113.57.229"
"ns1ibs.aims1.biz","203.126.30.39"
"","201.251.254.17"
"69-20-154-65.ida.net","69.20.154.65"
"","82.151.98.242"
"mobile-166-130-64-29.mycingular.net","166.130.64.29"
"","216.167.205.63"
"undp04.rad1.aamranetworks.com","203.202.246.147"
"UNUSED-216-37-196-78.UNUSED.EPIX.NET","216.37.196.78"
"dns1.corpwest.com","66.206.166.2"
"","205.159.133.51"
"host172.186-153-2.telecom.net.ar","186.153.2.172"
"mail.selmp.co.kr","203.238.187.73"
"static-74-41-246-177.dsl1.kgm.az.frontiernet.net","74.41.246.177"
"","220.124.147.37"
"","168.187.46.242"
"","24.137.48.78"
"","175.200.96.71"
"","212.122.54.209"
"","93.155.136.27"
"78-131-141-25.tktelekom.pl","78.131.141.25"
"62-134-17-82.business.static.de.bt.net","62.134.17.82"
"atldns01.georgiaquickstart.org","72.162.36.12"
"","176.31.41.133"
"mail.m.kgs.kz","213.157.47.42"
"","80.233.146.161"
"","195.43.129.123"
"","62.1.18.25"
"60-251-192-108.HINET-IP.hinet.net","60.251.192.108"
"nts-tp.champions.com.tw","203.69.123.86"
"ns.mrdoors.ru","194.84.146.5"
"","217.219.202.7"
"mail.dominionfirstmortgage.com","74.95.91.113"
"220-135-115-13.HINET-IP.hinet.net","220.135.115.13"
"","141.109.1.1"
"","41.79.124.10"
"","197.214.113.138"
"","27.131.163.1"
"92x255x190x1.static-business.omsk.ertelecom.ru","92.255.190.1"
"ns2.h2.se","194.68.95.4"
"","141.109.1.2"
"PYXIS-TECHNOLOGY.ipb.na","196.44.131.180"
"host209.193.29.66.static.maximumasp.com","66.29.193.209"
"","80.95.220.186"
"ks365399.kimsufi.com","94.23.4.113"
"186-200-2-58.customer.tdatabrasil.net.br","186.200.2.58"
"194-247-191-29.wlc-net.ru","194.247.191.29"
"","211.55.81.100"
"vns3.corp.veracitynetworks.com","66.219.255.23"
"","193.108.227.195"
"ns1.envases-elopak.com.mx","201.144.113.146"
"113x40x70x40.ap113.ftth.ucom.ne.jp","113.40.70.40"
"mail.jppipingsystems.com.au","58.162.237.90"
"ns23379.ovh.net","91.121.12.199"
"","188.165.16.106"
"","180.211.164.178"
"","183.106.170.191"
"","23.97.76.113"
"","216.248.13.9"
"","41.79.124.9"
"dns2.escoglobal.com","203.127.53.50"
"59-127-124-36.HINET-IP.hinet.net","59.127.124.36"
"holdingpharma.com.tw","59.120.33.194"
"cl126.internetdsl.tpnet.pl","80.53.221.126"
"","193.137.229.194"
"","87.244.23.14"
"ionia-isd.k12.mi.us","66.39.224.145"
"H233.C186.tor.switchworks.net","204.15.186.233"
"","194.44.216.58"
"serveur11.infodidac.net","178.33.255.64"
"host-151-250-94-140.reverse.superonline.net","151.250.94.140"
"5.45.3.213.static.wline.lns.sme.cust.swisscom.ch","213.3.45.5"
"mail.cobioscience.com","50.250.133.198"
"","80.71.144.28"
"trol.koelner.ua","194.44.216.10"
"tom1095545.lnk.telstra.net","149.135.39.195"
"","62.196.16.66"
"123.ip-5-135-150.eu","5.135.150.123"
"","41.77.14.106"
"host185-104-static.97-5-b.business.telecomitalia.it","5.97.104.185"
"","190.129.94.107"
"","62.148.204.2"
"windows.sindad.com","162.223.88.133"
"cpe-191456.ip.primehome.com","78.158.140.237"
"","222.122.34.194"
"","62.153.141.15"
"","211.191.174.5"
"","173.226.152.145"
"","193.203.240.146"
"cpede_dus000989.ia.colt.net","213.61.79.114"
"","61.199.206.89"
"mail.soluciones-informaticas.com","200.32.4.187"
"220-130-104-56.HINET-IP.hinet.net","220.130.104.56"
"","206.251.24.16"
"","104.37.71.169"
"fnttkyo003022.tkyo.fnt.ngn4.ppp.infoweb.ne.jp","202.248.222.22"
"tcsvr02.trainingcentral.co.za","41.86.112.229"
"","203.127.53.51"
"","178.209.105.122"
"","222.122.118.17"
"","207.166.134.35"
"","62.76.204.222"
"","194.44.45.98"
"mx.rlt.ru","82.144.67.199"
"91-228-136-7.mpcnet.pl","91.228.136.7"
"mail.aliner.com.tw","220.130.10.250"
"dc2.hosted.rollinger.com","94.242.197.190"
"","194.6.216.200"
"","27.131.162.225"
"ns3.qchosting.com","72.51.45.108"
"","91.229.232.174"
"89-97-225-69.ip19.fastwebnet.it","89.97.225.69"
"57.249.149.190.static.intelnet.net.gt","190.149.249.57"
"mail.biop.com.tw","220.130.11.60"
"","67.21.165.18"
"94-40-46-79.tktelekom.pl","94.40.46.79"
"ns.unisal.it","213.156.49.106"
"235.87.150.178.triolan.net","178.150.87.235"
"59-120-215-104.HINET-IP.hinet.net","59.120.215.104"
"","46.19.46.231"
"","121.151.232.172"
"ms1.thunder-stars.com","220.130.69.46"
"rte1258089.lnk.telstra.net","120.150.85.212"
"metropr.by","82.209.199.218"
"insane.homeip.net","91.229.232.216"
"","91.229.233.41"
"rt84bb0-37-159.routit.net","37.0.84.159"
"186-216-63-97-CORPORATIVO-CLIENTE-48994.metroflex.com.br","186.216.63.97"
"","203.70.16.83"
"aa2007061356d2eebc8b.userreverse.dion.ne.jp","210.238.188.139"
"crm.firelinecom.com","208.77.238.150"
"","118.175.20.122"
"","80.232.172.16"
"162-255-250-117.ip.van.radiant.net","162.255.250.117"
"static.vnpt.vn","123.30.171.190"
"spamtitan3.gtinnovatech.com","65.39.166.131"
"k.root-servers.net","207.61.23.101"
"tom1095503.lnk.telstra.net","149.135.39.192"
"82-117-232-237.gpon.sta.kh.velton.ua","82.117.232.237"
"","64.238.33.5"
"","41.225.9.106"
"mail.tianchengauction.com","59.152.214.132"
"","91.229.232.218"
"eurokem.ru","91.190.233.78"
"","211.115.81.152"
"eth1987.sa.adsl.internode.on.net","150.101.21.210"
"bwx122.internetdsl.tpnet.pl","83.18.231.122"
"ppp33.t2.gateway.net.au","203.18.248.66"
"rbl.dns-servicios.com","82.194.66.193"
"","207.42.135.126"
"","77.42.222.167"
"82-135-200-112.static.zebra.lt","82.135.200.112"
"bbdata134.via-net-works.com.br","200.222.35.134"
"","190.90.250.22"
"","103.10.231.99"
"70-89-116.241-BusName-WA.hfc.comcastbusiness.net","70.89.116.241"
"con-tech.biz","206.248.136.109"
"38.117.208.156-rdns.bigscoots.com","208.117.38.156"
"","119.205.213.34"
"","91.229.232.213"
"","222.231.33.197"
"universidade.hebron.com.br","200.249.35.80"
"","218.145.31.223"
"opal.futuro.pl","62.233.128.21"
"","216.167.205.64"
"210-4-76-34-jhil.bdcom.com","210.4.76.34"
"h127-210-243-188.seed.net.tw","210.243.188.127"
"","208.90.161.194"
"","41.230.12.223"
"167.138.224.159.triolan.net","159.224.138.167"
"","194.111.44.131"
"cube3.eys.cz","81.90.244.115"
"","115.23.196.65"
"ns5.imsbiz.com","210.87.250.59"
"ec2-54-191-97-33.us-west-2.compute.amazonaws.com","54.191.97.33"
"","220.85.11.66"
"mail.ldl-web.com","81.209.169.102"
"","211.115.81.74"
"gw.viti.pf","113.197.68.20"
"","115.42.175.120"
"","210.176.91.186"
"pfw.i2k.com","66.255.222.94"
"29-85-97-179.rrconect.com.br","179.97.85.29"
"mail1.multisoft.com.hk","202.126.222.1"
"","186.74.94.106"
"pd95c4a0a.dip0.t-ipconnect.de","217.92.74.10"
"145.46-150-104.bras2.donapex.net","46.150.104.145"
"174-47-107-220.static.ctl.one","174.47.107.220"
"","121.191.82.15"
"210-71-250-93.HINET-IP.hinet.net","210.71.250.93"
"","91.229.233.40"
"ns1.palomar.edu","205.153.159.252"
"217-197-34-14.sedlnice.net","217.197.34.14"
"","211.37.93.71"
"ip-81-93-244-21.sd-france.net","81.93.244.21"
"","91.229.233.2"
"114-35-157-101.HINET-IP.hinet.net","114.35.157.101"
"RonsonDevelopment-do-MocCORE.net.aster.pl","178.73.8.174"
"","125.138.209.119"
"","128.140.177.180"
"113.196.142.14.ll.static.sparqnet.net","113.196.142.14"
"","186.96.68.138"
"","220.90.210.183"
"59-125-19-66.HINET-IP.hinet.net","59.125.19.66"
"","121.254.231.86"
"119246233114.ctinets.com","119.246.233.114"
"ip63.50-31-27.static.steadfastdns.net","50.31.27.63"
"BPLDC1.bpl.lib.me.us","209.222.202.108"
"","121.176.131.62"
"ec2-54-208-55-247.compute-1.amazonaws.com","54.208.55.247"
"szmaragd.futuro.pl","62.233.128.18"
"beverly.chronoworx.net","82.139.200.202"
"server.pandasoft.ir","95.38.61.132"
"","203.30.184.5"
"186-38-47-65.mrse.com.ar","186.38.47.65"
"m.abmt.co.uk","216.68.91.185"
"ns01.mestek.net","72.11.218.9"
"157.249.149.190.static.intelnet.net.gt","190.149.249.157"
"","82.139.167.77"
"net-8-66.jaw.cz","77.95.47.66"
"mail.venuewest.com","96.53.35.118"
"labpublic3.cc.uh.edu","129.7.234.150"
"","83.239.63.226"
"","219.92.52.235"
"","184.175.99.43"
"kmc-mail.kmc-rg.com.tw","59.120.9.16"
"research.ise.ro","193.231.159.1"
"jamhot12.lnk.telstra.net","165.228.134.94"
"","140.130.215.1"
"mail.megaittech.ca","184.71.19.126"
"wfdmzsrv-ns002.mestek.net","72.11.218.10"
"spamtitan3.gtinnovatech.com","65.39.166.134"
"","203.18.248.122"
"spamtitan2.gtinnovatech.com","65.39.166.132"
"donaldd.oaklandschools.net","216.11.92.50"
"220-130-1-136.HINET-IP.hinet.net","220.130.1.136"
"ns1.archwang.com","59.125.215.65"
"059148214148.ctinets.com","59.148.214.148"
"remote.qucaan.com","193.126.23.247"
"dns.deltainfo.it","151.1.212.6"
"","209.13.176.178"
"isp-31-222-3-10.saowifi.net","31.222.3.10"
"","200.75.12.42"
"","88.80.113.141"
"mail2.entertec.com.tw","59.120.19.50"
"ns3.lightpointcommunications.net","207.162.210.12"
"","202.29.32.1"
"","177.234.9.246"
"","125.206.211.218"
"server109-228-11-95.live-servers.net","109.228.11.95"
"","77.48.48.2"
"brandon.marino.ne.jp","220.110.210.115"
"","176.109.0.178"
"","121.55.124.140"
"remote.daggettparker.com","68.68.234.226"
"26.48.pppoe.mari-el.ru","77.40.48.26"
"110-174-25-190.static.tpgi.com.au","110.174.25.190"
"","112.175.141.243"
"50-244-62-97-static.hfc.comcastbusiness.net","50.244.62.97"
"","209.13.176.181"
"dc1.dnpexchange.com","67.22.135.181"
"ns1.ccsh.tn.edu.tw","210.70.250.253"
"pppoe-81.89.77.108.gazpromtelecom.ru","81.89.77.108"
"mail.aitsinc.com","206.81.133.37"
"62.139.86.190.static.claro.com.sv","190.86.139.62"
"","183.108.12.169"
"","62.209.202.93"
"na-148-243-187-74.static.avantel.net.mx","148.243.187.74"
"","91.227.23.66"
"","62.160.48.17"
"107.18.87.109.triolan.net","109.87.18.107"
"DC2.exchange.datagate.net","62.204.34.3"
"rt13bb246-84-5.routit.net","84.246.13.5"
"","216.167.205.67"
"reporte.atentus.com","190.151.20.148"
"","87.215.198.161"
"c-nexco-kanazawa.info","183.177.129.74"
"185-22-184-129.cizgi.net.tr","185.22.184.129"
"","88.87.197.182"
"ims-74-81-134-20.imsday.com","74.81.134.20"
"ks24666.kimsufi.com","91.121.24.138"
"186.215.128.142.static.gvt.net.br","186.215.128.142"
"p56018-ipngnfx01marunouchi.tokyo.ocn.ne.jp","180.43.61.18"
"lmontsouris-656-1-35-59.w80-15.abo.wanadoo.fr","80.15.35.59"
"smtp.emu.com.au","180.214.95.90"
"","38.64.37.130"
"","173.225.16.194"
"176-67-0-60.static-pool.smela.mclaut.net","176.67.0.60"
"ns2.angkasa.net.id","202.6.209.2"
"","211.179.185.233"
"mail.minerasierragrande.com","209.13.176.180"
"","121.176.131.54"
"smtp.emu.com.au","180.214.95.89"
"static.228.120.251.148.clients.your-server.de","148.251.120.228"
"95-128-247-118.avk-com.ru","95.128.247.118"
"nsg-static-042.157.72.182.airtel.in","182.72.157.42"
"ns2.ednet.imsbiz.com","210.87.250.117"
"","218.145.31.139"
"na-148-243-187-75.static.avantel.net.mx","148.243.187.75"
"ns2-auth.infonex.net","192.238.25.201"
"ns8.imsbiz.com","210.87.250.154"
"212-203-109-67.thf4it.net","212.203.109.67"
"77-108-47-27-static.bbbell.com","77.108.47.27"
"","194.249.178.66"
"220-130-34-54.HINET-IP.hinet.net","220.130.34.54"
"hsiifgw02.hsi.gov.my","175.28.13.164"
"mail.rocksoft.ca","65.39.166.201"
"","218.145.31.229"
"","27.101.139.155"
"cluster-1.atentus.com","190.151.20.146"
"mail.ildong.com","219.253.51.4"
"","79.106.97.182"
"","88.87.197.190"
"","219.163.56.52"
"","61.111.254.243"
"","24.48.219.154"
"mail.basys-bremen.de","62.154.253.226"
"","213.108.183.213"
"ns1.floride.net","204.191.10.5"
"","175.212.96.2"
"","41.207.186.166"
"mokyo.marketingideachip.com","199.48.130.98"
"061239253162.static.ctinets.com","61.239.253.162"
"","175.206.83.24"
"5.205.221.83.donpac.ru","83.221.205.5"
"ns.daewoobus.co.kr","152.149.201.2"
"","202.146.130.206"
"","183.104.61.35"
"static.30.70.188.95.dsl.krasnet.ru","95.188.70.30"
"ns2.systec-co.com","37.32.120.137"
"","41.221.186.250"
"pegasus.csoma.elte.hu","157.181.199.5"
"","213.185.183.70"
"189-89-165-114.STATIC.itsweb.com.br","189.89.165.114"
"static.221-132-82-66.nexg.net","221.132.82.66"
"211-75-247-161.HINET-IP.hinet.net","211.75.247.161"
"","218.145.31.205"
"220-130-180-148.HINET-IP.hinet.net","220.130.180.148"
"mail.gerbangperdana.com.my","219.92.52.237"
"89.140.69.55.static.user.ono.com","89.140.69.55"
"koutei.albm.jp","219.163.56.65"
"","195.222.44.226"
"h167.net40.bmstu.ru","195.19.40.167"
"","212.116.110.155"
"200-217-5-171.host.telemar.net.br","200.217.5.171"
"87.206.150.178.triolan.net","178.150.206.87"
"ns2.rosreestr61.ru","77.95.89.99"
"97.4.144.122.maxindo.net","122.144.4.97"
"","223.130.96.120"
"press.hku.hk","147.8.25.79"
"","27.254.45.5"
"","178.219.199.135"
"","220.81.76.157"
"89.140.69.56.static.user.ono.com","89.140.69.56"
"mail.godmailer.com","198.55.49.149"
"ip8774.metroflex.com.br","187.62.226.69"
"60-249-95-162.HINET-IP.hinet.net","60.249.95.162"
"","218.145.31.132"
"","193.230.175.3"
"202-39-131-135.HINET-IP.hinet.net","202.39.131.135"
"89.140.69.49.static.user.ono.com","89.140.69.49"
"59-125-29-120.HINET-IP.hinet.net","59.125.29.120"
"","1.249.207.225"
"","89.111.69.98"
"","200.85.7.29"
"202-39-131-145.HINET-IP.hinet.net","202.39.131.145"
"host66-69-98-165.movistar.com.ni","165.98.69.66"
"tb1.vipersystem.com","24.227.217.157"
"60-119.tkplazma.com.ua","81.163.119.60"
"","176.124.144.13"
"","65.39.166.199"
"59-124-29-12.HINET-IP.hinet.net","59.124.29.12"
"","221.151.128.26"
"ip8770.metroflex.com.br","187.62.226.65"
"","195.178.56.179"
"","113.30.137.34"
"pfy70.internetdsl.tpnet.pl","46.171.154.70"
"soch-serv.sochepress.ma","62.251.167.196"
"","199.249.236.122"
"kr-selioi002.ioikorea.com","211.171.15.102"
"ip8882.metroflex.com.br","187.62.226.177"
"82-135-221-203.static.zebra.lt","82.135.221.203"
"","59.24.116.225"
"33-85.ipartner.com.pl","83.168.85.33"
"212-203-109-68.thf4it.net","212.203.109.68"
"","218.38.13.34"
"89-171-68-66.static.ip.netia.com.pl","89.171.68.66"
"dns2.vacv.com","24.114.218.172"
"ns1.sopia.or.jp","218.223.239.2"
"ip-195225037201.multimetro.pl","195.225.37.201"
"","89.218.67.245"
"s01.edageneralelec.com","86.122.51.134"
"ppppt62.tokyo-ip.dti.ne.jp","124.255.140.62"
"","176.124.144.35"
"60-249-116-120.HINET-IP.hinet.net","60.249.116.120"
"82-208-122-213.static.mts-nn.ru","82.208.122.213"
"","121.125.71.213"
"","195.178.56.180"
"","89.218.67.244"
"","125.130.139.108"
"","190.151.60.179"
"ip-195225037196.multimetro.pl","195.225.37.196"
"","202.146.130.149"
"","82.142.168.82"
"","183.104.61.115"
"","65.39.166.197"
"83-228-69-244.ip.btc-net.bg","83.228.69.244"
"","176.97.162.102"
"ns1.cowisys.no","194.19.74.250"
"mail.vanpro.co.kr","124.137.207.115"
"","61.100.5.193"
"75-150-101-1-NewEngland.hfc.comcastbusiness.net","75.150.101.1"
"","213.42.29.19"
"www.iim.ncku.edu.tw","140.116.99.1"
"","178.23.192.17"
"","61.78.25.21"
"","197.26.8.36"
"fuyang.tw","60.249.176.179"
"","106.246.251.250"
"host-85-237-50-242.dsl.sura.ru","85.237.50.242"
"r200-40-255-100.static.adinet.com.uy","200.40.255.100"
"static-129-44-218-203.syr.east.verizon.net","129.44.218.203"
"31-221-59-218.cust-31.exponential-e.net","31.221.59.218"
"134-249-174-90.broadband.kyivstar.net","134.249.174.90"
"60-249-95-220.HINET-IP.hinet.net","60.249.95.220"
"ns3-hosting.intrabit.ro","91.212.101.60"
"125-227-222-174.HINET-IP.hinet.net","125.227.222.174"
"75-146-191-77-Minnesota.hfc.comcastbusiness.net","75.146.191.77"
"","181.48.216.230"
"","38.123.138.21"
"mail.schraderbnu.com.br","177.200.192.210"
"ims-74-81-134-40.imsday.com","74.81.134.40"
"mail.transportesdonpedro.com.ar","200.55.7.170"
"","62.176.19.127"
"204.52.80.200.static.host.ifxnw.com.ar","200.80.52.204"
"","213.185.183.34"
"host1.ubileyniy.cust.dsi.ru","195.206.55.154"
"ns.teion-wh.co.jp","210.225.128.98"
"238.37.103.218.static.netvigator.com","218.103.37.238"
"173-219-137-249.sta.suddenlink.net","173.219.137.249"
"217.52.80.200.static.host.ifxnw.com.ar","200.80.52.217"
"mail.fctour.com.tw","60.250.95.228"
"mail.siverin.ru","77.50.10.94"
"server2.compumar.com","200.80.52.104"
"public-gprs512776.centertel.pl","31.61.122.73"
"155.203.86.109.triolan.net","109.86.203.155"
"choojaib.pbi.sk","80.242.41.69"
"","218.236.58.114"
"","112.168.210.109"
"ns2.arcplan.com","194.25.218.2"
"","92.241.97.238"
"","208.74.71.20"
"ns2.wincom.net","209.216.129.4"
"dns1.bgsd.k12.wa.us","152.157.16.16"
"fgk150.internetdsl.tpnet.pl","83.13.166.150"
"vash-povireny-gw.sovam.net.ua","83.170.202.226"
"shahsaig.pbi.sk","80.242.41.90"
"","200.80.52.15"
"49-85.ipartner.com.pl","83.168.85.49"
"","209.237.227.200"
"","50.55.53.153"
"harry.eurobelt.eu","62.197.225.36"
"mail.berdyansk.net.ua","193.242.114.115"
"cpefr_par003363.ia.colt.net","62.23.20.254"
"lputeaux-658-1-63-134.w193-251.abo.wanadoo.fr","193.251.90.134"
"lmontsouris-657-1-163-80.w82-127.abo.wanadoo.fr","82.127.201.80"
"resolver.becomsys.de","195.226.69.5"
"","198.50.156.209"
"lputeaux-658-1-79-44.w193-253.abo.wanadoo.fr","193.253.218.44"
"","91.222.80.39"
"59-120-219-201.HINET-IP.hinet.net","59.120.219.201"
"66-207-220-232.beanfield.net","66.207.220.232"
"unreachable","217.76.44.53"
"","194.141.30.177"
"","178.23.192.101"
"210-242-228-25.HINET-IP.hinet.net","210.242.228.25"
"ntext.nvavia.ru","62.105.20.130"
"","66.223.110.156"
"194-79-89-89.static.net.novis.pt","194.79.89.89"
"berdz930.dz.bbf.de","194.174.73.36"
"ns.euroit.sk","213.215.116.79"
"","77.34.10.67"
"","178.23.192.89"
"109-167-138-202.westcall.net","109.167.138.202"
"dns2.wabash.edu","161.32.17.2"
"61-219-23-48.HINET-IP.hinet.net","61.219.23.48"
"","65.68.52.134"
"","210.59.70.10"
"210-61-2-99.HINET-IP.hinet.net","210.61.2.99"
"","64.76.147.5"
"mail.lotecs.co.kr","121.140.158.45"
"175.38.103.218.static.netvigator.com","218.103.38.175"
"","190.196.2.182"
"host-188.65.208.12.knopp.ru","188.65.208.12"
"rover.stcharles.k12.la.us","209.149.52.2"
"mail.led-ever.com","59.188.219.37"
"dns1.pro.dk","87.116.31.20"
"","209.36.40.131"
"","178.23.192.113"
"","14.139.235.210"
"46-234-226-122.ip.bkom.it","46.234.226.122"
"","175.193.135.14"
"ns120.on-nets.com","210.0.128.120"
"news.updatefrom.com","209.15.211.147"
"ns2.emsitel.com.co","200.75.46.67"
"routerbox.cepain.com.br","177.38.160.10"
"ns1.pchdataservices.com","184.105.249.231"
"","109.106.139.94"
"194-17-39-10.customer.telia.com","194.17.39.10"
"rift.creativeimage.ca","66.207.220.235"
"mx.ekaterinburgexpo.ru","81.91.40.10"
"80-62-58-103-static.dk.customer.tdc.net","80.62.58.103"
"","168.126.90.189"
"customer-187-210-123-45.uninet-ide.com.mx","187.210.123.45"
"","178.23.192.85"
"","168.156.84.37"
"name1.admin.t26.dk","77.221.225.2"
"","62.176.19.121"
"","156.154.70.64"
"ns.nvavia.ru","62.105.20.129"
"","209.237.227.198"
"","125.130.93.13"
"","62.105.20.142"
"","114.108.150.54"
"www3.genatec.com","69.70.39.62"
"","115.68.2.82"
"","170.210.60.80"
"","12.121.117.201"
"www.lyons.com.tw","61.221.23.93"
"","168.156.84.21"
"","86.36.50.135"
"41.84.156.65.liquidtelecom.net","41.84.156.65"
"","222.112.197.155"
"","88.220.44.38"
"static-103-15-62-69.ctrls.in","103.15.62.69"
"","209.237.227.203"
"lputeaux-658-1-125-76.w193-252.abo.wanadoo.fr","193.252.11.76"
"87-126-31-21.ip.btc-net.bg","87.126.31.21"
"187.17.52.34.vivatelecom.com.br","187.17.52.34"
"delhi-203.200.99-91.vsnl.net.in","203.200.99.91"
"","91.226.79.174"
"","190.151.60.139"
"cfcweb.cfc.org.br","189.112.51.161"
"customer-187-218-94-145.uninet-ide.com.mx","187.218.94.145"
"news.updatefrom.com","209.15.211.149"
"85-235-35-110.tksk.ru","85.235.35.110"
"","213.233.116.14"
"","193.138.115.103"
"www.admin-chugai.com","210.163.9.121"
"","211.106.66.129"
"","77.104.225.113"
"FLH9Aah052.tky.mesh.ad.jp","60.236.29.52"
"relay.teamsearchmr.co.uk","88.208.217.93"
"205.180.216.201.static.intelnet.net.gt","201.216.180.205"
"vivid-hosting.net","199.188.88.147"
"","222.236.44.15"
"host217-40-133-74.in-addr.btopenworld.com","217.40.133.74"
"85-235-59-11.usp.utk.ru","85.235.59.11"
"kwangju.hwacheon.com","118.128.205.4"
"lputeaux-656-1-84-7.w80-15.abo.wanadoo.fr","80.15.59.7"
"","220.80.108.34"
"dc-01-prl.prelouc-net.cz","62.77.68.10"
"delhi-203.200.99-92.vsnl.net.in","203.200.99.92"
"210-65-11-14.HINET-IP.hinet.net","210.65.11.14"
"ns","221.186.160.98"
"110.15.87.109.triolan.net","109.87.15.110"
"188-123-34-196.rdtc.ru","188.123.34.196"
"ns.stack.net","217.73.195.17"
"lputeaux-656-1-84-113.w80-15.abo.wanadoo.fr","80.15.59.113"
"","202.224.222.227"
"www.sff.cl","200.27.194.5"
"asmanfaraz.11.19.126.93.in-addr.arpa","93.126.19.11"
"201.143.181.190.ded.telnor.net","201.143.181.190"
"60-248-160-2.HINET-IP.hinet.net","60.248.160.2"
"59-125-83-54.HINET-IP.hinet.net","59.125.83.54"
"mail.csk-rus.ru","176.114.200.193"
"","41.58.132.142"
"93-87-244-106.static.isp.telekom.rs","93.87.244.106"
"","203.236.241.49"
"","216.218.245.200"
"82-208-99-185.static.mts-nn.ru","82.208.99.185"
"dns2.pro.dk","87.116.31.21"
"84-52-64-154.westcall.net","84.52.64.154"
"mx1.examat.com.sg","42.61.104.115"
"","217.6.119.216"
"static-adsl190-29-18-141.une.net.co","190.29.18.141"
"","121.157.116.150"
"tvagb.m-online.net","62.245.226.182"
"kamelot.dmitrov.ru","62.122.102.98"
"server109-228-13-101.live-servers.net","109.228.13.101"
"218-4-140-95.reverse.alphalink.fr","95.140.4.218"
"212-181-18-11.customer.telia.com","212.181.18.11"
"ec2-54-251-190-247.ap-southeast-1.compute.amazonaws.com","54.251.190.247"
"118-163-246-234.HINET-IP.hinet.net","118.163.246.234"
"vidin-110-180.vidaoptics.com","89.106.110.180"
"","216.218.31.74"
"","210.96.167.2"
"109x195x36x106.static-business.barnaul.ertelecom.ru","109.195.36.106"
"server-46.45.187.187.as42926.net","46.45.187.187"
"mail.unic.co.th","27.254.3.86"
"tgkzdnsroot.trivalent.net","216.120.144.130"
"200-97-6-146.user.telermar.net.br","200.97.6.146"
"38.249.2.109.rev.sfr.net","109.2.249.38"
